Year,January,February,March,April,May,June,July,August,September,October,November,December
1976,3.24,1.103,0.462,0.176,0.24,0,0.023,0.096,0.325,0.74,0.774,0.41
1977,0.706,0.303,0.16,0.063,0.001,0.13,0.203,0.063,0.194,0.792,1.061,1.188
1978,0.518,0.26,0.004,0.137,0.24,0.203,0.23,0.384,0.36,0.116,0.023,0.005
1979,0.003,0.008,0.017,0.029,0.008,0.002,0.04,0.044,0.23,0.102,0.123,0.476
1980,0.303,0.109,0.008,0.04,0.017,0.137,0,0.053,0.014,0.012,0.01,0.13
1981,0.203,0.203,0,0.029,0.012,0.023,0.185,0.032,0.005,0.001,0.073,0.005
1982,0.002,0.017,0,0.058,0.423,0.846,0.41,0.865,1.932,4,4.285,5.429
1983,5.905,4.928,2.856,1.254,1.254,0.384,0.012,0.017,0.25,1.061,1.277,0.903
1984,0.64,0.281,0.23,0.36,0.41,0.81,0.16,0.16,0.123,0.689,1.392,2.341
1985,0.792,0.828,0.922,0.96,0.81,0.578,0.372,0.24,0.325,0.41,0.185,0.16
1986,0.624,0.41,0.26,0.168,0.221,0.006,0.026,0.058,0.348,0.81,1.082,0.96
1987,1.416,1.369,1.538,0.792,0.828,1.538,1.796,2.19,2.341,1.85,1.664,1.103
1988,0.476,0.123,0.084,0.24,1.103,2.132,2.372,2.074,1.769,4.368,4.752,3.92
1989,3.803,1.877,1.769,1.232,0.64,0.41,0.221,0.336,0.144,0.16,0.09,0.017
1990,0.1,0.13,0.04,0.068,0.102,0,0.023,0.029,0.014,0.017,0.006,0.102
1991,0.26,0.102,0.01,0.044,0.194,0.423,0.384,0.185,0.048,0.828,1.3,2.624
1992,2.592,2.624,2.25,1.988,1.613,0.281,0.073,0.023,0.02,0.123,0.02,0.002
1993,0.078,0.176,0.221,0.846,0.865,0.41,0.109,0.026,0.068,0.13,0.078,0.036
1994,0.001,0.026,0.004,0.001,0.02,0.073,0.026,0.27,0.16,0.81,1.3,1.464
1995,1.21,0.757,0.24,0.073,0.001,0.006,0.001,0.144,0.325,0.518,0.608,0.518
1996,0.423,0.436,0.23,0.116,0.16,0.014,0.02,0.09,0.116,0.078,0.09,0.185
1997,0.185,0.058,0.004,0.116,0.757,1.323,2.56,3.764,4.41,5.244,5.856,5.29
1998,5.856,4.326,2.22,0.81,0.462,0.152,0.533,0.689,0.672,1.416,1.513,2.28
1999,2.341,1.988,0.846,0.656,0.757,0.903,0.706,0.96,0.706,1.061,1.988,2.372
2000,3.204,2.341,1.588,0.64,0.64,0.563,0.325,0.13,0.152,0.303,0.563,0.846
2001,0.774,0.397,0.23,0.09,0.09,0.012,0,0.005,0.078,0.068,0.078,0.212
2002,0.02,0,0.012,0.02,0.044,0.462,0.325,0.49,0.672,1.346,1.988,1.988
2003,0.96,0.41,0.23,0.001,0.27,0.036,0.02,0.003,0.023,0.212,0.152,0.102
2004,0.068,0.029,0.01,0.004,0.01,0.02,0.168,0.436,0.449,0.533,0.384,0.504
2005,0.314,0.068,0.078,0.078,0.09,0.048,0,0.002,0.006,0.023,0.194,0.563
2006,0.96,0.504,0.533,0.09,0.012,0.008,0.001,0.137,0.397,0.578,0.96,1.21
2007,0.348,0.014,0.023,0.026,0.152,0.026,0.137,0.325,1.082,1.96,2.496,2.592
2008,3.204,2.89,1.369,0.792,0.41,0.194,0.002,0.002,0.078,0.09,0.137,0.81
2009,1,0.504,0.518,0.063,0.029,0.24,0.476,0.384,0.462,0.922,2.22,3.276
2010,2.045,1.392,1.145,0.314,0.023,0.384,0.792,1.769,2.434,2.723,2.465,2.657
2011,2.89,1.588,0.96,0.548,0.281,0.063,0.053,0.436,0.578,0.865,1.188,1.103
2012,0.865,0.372,0.23,0.084,0.032,0.02,0.194,0.436,0.194,0.053,0.109,0.017
2013,0.176,0.16,0.02,0.006,0.078,0.109,0.078,0.084,0.008,0.058,0,0.008
2014,0.176,0.203,0.005,0.078,0.203,0.23,0.017,0.02,0.137,0.23,0.792,0.593
2015,0.348,0.325,0.23,0.81,1.082,1.638,2.434,3.497,4.04,4.884,6.605,6.554
2016,6.554,4.452,2.56,1.103,0.203,0.004,0.063,0.23,0.212,0.563,0.397,0.26
2017,0.116,0,0.008,0.048,0.09,0.048,0.048,0.032,0.314,0.27,0.706,0.723
2018,0.74,0.533,0.533,0.13,0.014,0.014,0.073,0.003,0.09,0.706,1,0.941
2019,0.26,0.384,0.656,0.449,0.372,0.436,0.168,0.036,0.012,0.303,0.548,0.26
